num	period	title	date	body
365	pandemic	우울증 걸렸을때	2020.11.16	"몇개월 전에 우울증,공황장애 등등을 진단 받고 약물복용중 이었는데 한달쯤 지나니까 기분도 좀 나아지는 느낌도 들고 약먹기가 싫어지고 병원도 가기 싫어지더라구요. 그래서 그 이후로 좀 잘 지내고 사람들 많을땨 숨이 갑갑하게 막히는거빼곤 완전히 나아졌다 생각했었어요. 근데 또 요즘에 막 우울해지고 무기력하고 그러더라구요.. 그래서 제가 궁금한건,1.우울증 걸리면 대부분의 사람들이 약에 의존하고 없으면 안될것 처럼 엄청 의존하는걸 보았는데 저는 좀 지나니까 오히려 약이 먹기가 싫어지고 병원도 가기 싫어지던데 이런 경우도 있는건가요?,,2. 위에 내용처럼 제가 우울증이 나아졌던게 아니었던 걸까요?,,정확하지 않은 답변은 신고합니다 제발 진짜 정확하 아시는 분만 답변해주세요. 다시 병원을 가라니 마라니 이런말 하지마세요"
366	pandemic	우울증 약 계속 복용하는 게 맞을까요	2020.11.18	"최근 힘든 일이 많았습니다,자진 퇴사도 있었고 코로나로 인한,어이없는 실직도 있었고,이번 년도에만 이직을 여러번하다가,결국 신용회복까지 신청했구요,사람에게 뜬금없는 배신을 당하기도 하고,금전적인 면에서 사기를 입는 등,괴로운 일만 반복되고 그러다보니,내가 너무 못난 것 같고,자꾸 안좋은 생각만 들고,아프고 쓰러지기 까지해서,최근에 정신과 진료를 받았습니다,우울증 말기 및 공황장애 진단을 받아서,(이미 공황발작 진단을 받은 바 있습니다),약 처방을 받았는데요,,문제는 약 처방을 받은 이후부터입니다,약처방 받기 전에는 살고싶은 의지는 없었지만,억지로 자해는 하지 않고,의욕없이 살면서 연명한다는 느낌이 컸는데요,,처방받은 약을 먹은 뒤로는,밤마다 몽롱해지고,우울해지면서,울기도 하고 불안하고 소리를 지르거나 욕을 하다가도,죽으려는 시도를 하고.. 계속 반복했습니다,그렇게 새벽에 겨우 잠들고 일어나서 약을 먹었더니 어지럽긴 했지만 출근은 했는데,퇴근하고 나서 약을 먹으니 또 다시 몽롱해지고,어지러워지고 불안하고 미칠 것만 같습니다,,점점 사람 많은 곳이 두려워지고,아무 것도 못할 것 같고,출퇴근을 위해 지하철을 타기만 해도,공황이 심해집니다,이전에도 지하철 타면 약간의 공황은 있었지만 이정도는 아니었는데,이제는 지하철을 타고 있으면서도,사람 많은 공간이 두렵다는 게 이런 거구나 싶고,누군가 날 싫어하고 경멸해하는 것 같고,해치지 않을 걸 잘 알면서도 두렵습니다,심지어 오늘은 출근길 퇴근길 둘 다 헷갈려서 몇 번을 왔다갔다하거나 이 길이 맞는지 몰라서 가만히 서있었습니다,이명까지 들리는데 이거 진짜 먹어도 괜찮을까요,부모님은 먹지말라고 하시지만,먹는 게 맞는 것 같아서 먹고는 있는데,먹으면 먹을 수록 우울해지는 것만 같아 걱정입니다,괜찮을까요"
367	pandemic	머릿속에 노랫 소리가 가끔 무한반복되고	2020.11.19	무기력하고 밤만되면 우울합니다..우울증약은먹고있고요 그리고 감정이없어요 슬프거나 기쁘거나 옛날만큼못느끼겠습니다 이거 조현병일까요?
368	pandemic	우울증치료	2020.11.19	더는 그만하고싶어요 너무 힘들어요 그냥..이제는 죽고만싶어요 난 나을 수 있는게 맞나요 왜 이렇게 힘든건가요 왜 난 우울증에 걸린건가요 그냥그냥 다 싫어져요 모든게 싫어요 사람도 싫고 지긋지긋한 우울증도 싫고 나도 싫어요 내가 너무 싫어요 싫어미칠것같은데 난 아무것도 할 수 있는게 없어요 버티는 수밖에 없어요 그냥 이제는 정말 그만하고싶어요 난 어떻게 해야해요 정말..
369	pandemic	"정신과에서 처방하는 비만, 다이어트 약이 궁금합니다"	2020.11.19	"정신과에서 처방하는 비만, 다이어트 약이 궁금합니다,현재 ADHD와 우울증으로 약을 여러가지 복용 중인데,비만이 큰 스트레스라서요,비만도 처방약이 있다고 하더라구요,주로 어떤 종류가 있나요?,저는 콘서타, 항우울제 등 여러가지 복용 중입니다"
370	pandemic	항우울제 처음 먹고 죽을뻔했습니다. 도와주세요.	2020.11.19	"우울증 진단 처방받고 계속 안먹다가,방금 처음먹어봤습니다.,,먹고 2시간정도 되었는데,,숨이 안쉬어지고 심장이 너무빨리뛰고,식은땀이 나오고 메스꺼워서 토하기 직전까지,갔습니다. 토할뻔 하고 2분정도 지나니까,잠잠해졌습니다...,이게 공황인가요?? 처음 겪어보는 느낌이었습니다.,죽을것 같았어요.,,약 용량이 너무 센건지 어떤건지 좀 봐주세요..,병원이전화를 안받네요..,,어떤약인가요??"
371	pandemic	불면증 우울증약 봐주세요	2020.11.21	"불면증이 심하고 우울증에 식욕이 없어서,체중이 많이 줄었습니다,그래서 졸피뎀 한알먹다가 많이 먹으면 좋지 않다고해서,현재 졸피뎀 반알 미르타자핀 한알 취침전 이렇게 복용하는데 미르타자핀이 식욕증가에도 도움이 된다하는데 문제는 11시에 취침약을 먹고 다음날 2-3시까지 잡니다..,졸피뎀 한알 먹을때는 오전에 항상일어났는데,너무 아침에 일어나기 힘들고 무기력해요,오히려 졸피뎀 한알 먹었을때가 아침에 더 개운해요,검색해보니 미르타자핀 반감기가 20-40시간인데 그래서 그런걸까요..? 의사선생님께 말씀드렸더니 졸피뎀은 좋지않으니 증량하지말고 그대로 반알 먹고 미르타자핀을 반으로 줄여주셨는데 그래도 똑같습니다 그냥 많이 잔다고 일찍일어나라고만 하십니다 ㅠㅠ,그래서 다른병원으로 옮기려고 했는데,이번에는 그냥 증상말해보라해서 우울한증상이나 불면을 말했더니 5분 상담하고,시탈로정10,알프람정0.5,라제팜정,스리반정1,트리티코정50,그리고 낮에 필요시 한두번 가슴두군거릴때 먹으라고,알프람정0.25 2개,,이렇게 처방해주셨는데 이게 너무 많은거같은데 그대로 복용해도 될지 약들 검색해봤는데 수면에 관련된약만 시탈로정빼고 전부다인거같은데..,,저도 수면제 없이 옛날처럼 푹 자고싶습니다,수면제는 몸에 좋지 않다는거 잘 알고있습니다,약들 먹기도 무섭지만 약먹어서라도 무기력증 의욕상실 우울감에서 얼른 벗어나고싶어요 두곳중 어느병원이 좋을까요..,그리고 번아웃증후군이란것도 검색해서 알았는데 제가 시기가 그런가싶고 대체 어떻게 나아지는지 살면서 정신과를 간다는건 생각도 못했는데.. 하루를 자책하며 살고있습니다"
372	pandemic	안녕하세요 다름 아니라 제가 정신병원에서 약을 먹으라고 하시는데 어머님이 드시지 말라시는데 먹는게 좋아요 안먹는게 좋아요..? 저는 ADHD이고	2020.11.21	안녕하세요 다름 아니라 제가 정신병원에서 약을 먹으라고 하시는데 어머님이 드시지 말라시는데 먹는게 좋아요 안먹는게 좋아요..? 저는 ADHD이고 우울증 불안증세를 가지고 있어요 이 밖에 안좋은것도있고 그리고 죽고싶다는 생각도 할 정도로 상태가 안좋은데 약복용해도되나요?
373	pandemic	정신병원에 입원하게 되었습니다.	2020.11.21	"글을 읽으러 와주셔서 감사합니다.,,현재 심각한 우울증으로 2달 정도 동안15~16키로가 빠지고,,아무것도 할 수 없는 상태로 하루하루 보내다 나으려는 의지로 정신과에 다녔습니다.,,꾸준한 치료에도 약물치료의 양은 한계치까지 가게 되었고 그럼에도 증상이 계속 여전하자 진료의뢰서를 써주시고 병동입원해서 집중치료의 필요성이 있다 하여, 결국 다음주 월요일에 코로나 검사를 하고 문제가 없을시 화요일에 입원을 하게 되었습니다.,,궁금한 점은 입원을 하게되면 기간은 개인별로 다른지와 정신병원 역시 금연인지 입니다.,,제 정확한 진단은 심각한 조울증으로 대학병원에서 진단을 받은 상태이고, 흡연은 주변에 피해와 건강에 해롭지만 하루에 3~4 개비정도 피는 수준으로 쉽게 끊을 수 있을 지 모르지만 의무적으로 금연이 된다면 상황이 나빠질지도 모른다는 불안감이 너무 커서 이렇게 질문합니다.,,이상 긴 글 읽어 주셔서 감사합니다."
374	pandemic	청년 우울증 문의드립니다.	2020.11.21	"우울증 정신과치료 받은지는 이제 6개월차가 되었습니다.,약을 먹어도 개선되는것은 없고 외래진료 받는 의사 선생님께서는 입원을 생각 해 보라고 하시더군요.,,제 나이는 현재 28살이고 개인 사업을 하고 있습니다.,돈이라던가 생활에 있어서는 무리가 전혀 없습니다.,다만, 허탈한 감정이라던가 무언가가 항상 심적으로 제 자신을 괴롭히고 우울해집니다.,,정신과 판정은 외상후 스트레스 장애와 지속적 치료에도 불구한 자살시도,우울증,대인기피증 판단을 받은 상태입니다.,약 역시 평소보다 강한약들을 먹는중이고요.(최근에 자살시도),,사람들을 만나기 싫어하고 걷더라도 일부로 사람이 없는쪽만 찾아서 걷게되더군요. 사업장에서는 그냥 할 일만 하고 직원들이랑은 특별한 일이 발생하지 않는 이상 대화를 안합니다.,,친구들이 있지만 제 자신이 느끼는거는 친구들은 오로지 술을 마시고 싶다거나 배가 고플때 저를 찾는것 같다고느끼고 아무도 안만나고 퇴근후 혼자 있는게 마음이 제일 편하다고 느낍니다. 하지만 기분은 나아지지가 않는상태 입니다.,,부모님이 계시지만 두분다 각자사업을 하시는지라 제 이야깃거리를 들어줄 시간도,여유도 없으실게 뻔한지라 연락은 하되, 횟수는 적습니다.,,계속되는 우울감을 떨쳐내고 싶기는한데 정말 입원을 하는게 좋을까요?,,개인적 생각으론 입원을 하게된다면 모든 정신과적으로 병이 있는사람들과 함께 먹고자고 하면 치료와 개선보다는 더 나빠질것같은데 그렇진않은가요?"
375	pandemic	우울증?공황장애	2020.11.22	"안녕하세요 저는 고등학교 3학년 학생입니다. 현재 6년째 우울증 치료를 받고 있고, 최근 1년 사이에 공황장애 또한 진단 받아 함께 약물치료를 병행하고 있습니다. 공황장애가 너무 심하여 학교 출석 또한 장기결석 중이며 수능 시험도 못치게 되었습니다. 저에겐 반년 정도 교재 중인 남자친구가 있는데요, 남자친구와 있을 땐 행복하고 웃는 일도 많지만 집에 돌아와서는 우울감이 몇배로 증가합니다. 남자친구 또한 이러한 제 속사정을 알기에 모두 배려해주고 맞춰주려 노력하지만 저는 그게 고마우면서도 저같은 사람을 만나는 잘난 남자친구가 너무 힘들어보이고 부족한 저를 만나는 자체가 너무 싫고 자괴감에 빠져듭니다. 몇 번이나 이별을 고했지만 남자친구는 사랑하니까 이해할 수 있고 사랑하니까 힘들어도 버틸수 있는 거라며 헤어질 수 없다고 하였습니다. 저도 남자친구가 정말 좋지만 제가 남자친구를 힘들게 하고 있다는 사실에 너무나도 힘이 듭니다. 평범한 사람이면 더 좋았을 텐데 우울증이며 공황장애며 앓고 있는 제가 너무 밉습니다. 제 행복만을 위해 남자친구를 힘들게 하는 것 같아서 마음이 아픕니다. 저 때문에 사람이 많은 지하철도 타지 못하고 음악소리가 큰 가게에 들어가지 못하는 남자친구가 제가 아닌 평범하고 멋진 사람을 만났더라면 어땠을까요. 제가 놓아주어야 하는 걸까요? 남자친구가 놔주지 않는다면 저는 어떻게 해야 하나요? 정신 없이 떠오르는 대로 쓴 글이라 문맥이 고르지 못한 점 죄송합니다."
376	pandemic	우울해지는 꿈을 많이 꾸는데 뭘까요	2020.11.22	"2달 전부터 우울증으로 정신과에 다니며 항우울제를 복용하고 있습니다.,약을 복용하니 우울한 기분이 확실히 덜해지고 잡생각이 사라저디라고요.,그런데 최근 일주일 전부터 꿈에서 제가 눈치없이 행동했거나 의도치 않게 잘못된 행동을 해서 주변 사람들한테 질책받고 욕먹는 꿈같은 걸 많이 꾸더라고요.,군인이라서 가고 싶다고 병원에 갈 수 있는 것도 아니라 이렇게 질문 올려봅니다.,왜 그런 걸까요?"
377	pandemic	가슴과 심장이 이상해요	2020.11.23	19살인데요.최근 가슴 심장 쪽이 이상해서 질문드립니다. 숨을 100% 제대로 쉬는 느낌이 아닙니다. 그래서 가끔 한숨쉬는 것처럼 숨을 쉬어야지 편해지는 기분이에요. 그리고 하루에 2~3회 정도 지끈거리면 일시적 통증이 있구요. 뻐근하고 이질적입니다.병원 가야하나요? 최근 수험 스트레스로 우울증도 걸려서 인지치료를 받고 있는데 우울감의 일시적 증상인지 헷갈려서요ㅜㅠ 아버지도 심장 혈관 수술을 받으신 적이 있다구 했는데 저는 아직 어린데도 가능성이 있는건가요??
378	pandemic	우울하다가 갑자기 심하게 기분이 업되는 때가 있습니다. (안양 범계 40대중반/여 조울증)	2020.11.24	"올해들어 여러가지 안좋은 일이 많아서 수개월전에 우울증 진단을 받았습니다.,,그런데 요즘 우울함은 예전보다 심하다고 느끼는데, 갑자기 과하게 기분이 업되는 경우가 있습니다.,,너무 기분이 고조되면서 가끔은 정신이 이상하게 된거 아닌가 싶기도 합니다.,,주변에서 갱년기라 그럴꺼라고 하는데...,,너무 업다운이 심해서 대인관계 중 오해도 받습니다.,,왜 그런건가요? 조울증아닌가요?"
379	pandemic	저는 우울증과 공황장애가 있는데요 부정맥이 나타나는 증상이 흔한가요?	2020.11.25	우울증 판정받은건 3년정도 됐고 공황장애는 몇개월 전에 진단받았는데 최근에 공황발작 증세로 숨쉬기가 곤란했었었고 누가 제 숨통을 쥐어짜는거처럼 가슴이 아프고 답답합니다. 이런증상은 한달정도 됐고 근간 일주일이내에서는 심장이 계속해서 너무 빨리뛰어서 분당 맥박수 자가체크해보니 1분에 132번 뛰더라구요 그냥 가만히 있어도 심장이 빨리뛰어서 너무 숨쉬기 힘들고 가슴이 아픈데 학교나 사람많은곳에 있으면 더 힘들고 심장이 진정이 안됩니다. 부정맥 증상일까요?
380	pandemic	이거 조울증 증상인가요...	2020.11.26	"안녕하세요, 1년전쯤 정식으로 병원에서 우울증 진단받은 1인입니다...(이때쯤 법적 성인이 되었습니다)그때 전서부터 제 인생은 여러 도전(도전....뭐 공부열심히해서 등급상승해보겠다 이정도의 도전이 아닙니다)들과 대인관계문제(따)등으로 파란만장했구요...,,그리고 제가 그 뒤로 듣게된 여러가지 평가들이 있어요...(어느정도 동의합니다),,1. 예민보스인거같다. ,2. 이동해야하거나 그런 상황에 다른 사람들보다 더 뭔가 초조해보인다/엉성해보인다.(그리고 물건을 자주 떨어뜨린다),3. 엄마아빠를 너무 과도한 약속으로 기만하려하는거 같다. ,4. 얼굴이 굳어져있을때는 너무 어둡다. ,5. 가끔 말할때 세상 잘난것처럼 너무 오만하게 얘기한다. ,.......,,또 제가 스스로 느끼는 제 삶의 특성?들은 이런겁니다. ,,1. 집중력이 떨어진다 예전, 즉 어렸을때와 달리. ,2. 플레이리스트의 음악들이 클럽음악에서부터 아주 우울한노래(글루미선데이 자우림노래 같은)까지 다양하다. ,3. 어렸을때와 달리 발표하는것이 두렵다. ,4. 자주 후회하고 자주 도전(과도한...eg.유학)하고싶어한다.(도전은 실제로 실행했던것들도 있음. 결론-돈날림) ,5. 영어를 어느정도 하는데, 어떨때는 거의 네이티브수준의 영어를 구사하지만 어떨때는 갑자기 언어회로가 고장난듯이 표현들이 생각이 안나고 번역체식 영어를 쓴다. ,6. 정신차리면 '내가 이 영상을 왜 찾아봤지' 싶은 유튜브 영상(eg. 사이코패스물)들을 때때로 보곤 한다. ,,이거 조울증 맞을까요ㅠㅠ,,감사합니다ㅠㅠ"
381	pandemic	누가 저에게 해를 가할 것 같아요	2020.11.27	"어린 시절에 집에 빚이 좀 있어서 한밤중에도 빚쟁이 아저씨들이 찾아온 적이 있어요. 그때 기억이 트라우마로 남아서 아직도 누가 저희 집에 찾아오는게 무서워요. 그 날 이후 10년이 지났는데도 아직도 누가 집에 찾아오면 불을 다 끄고 소리를 죽이고 가만히 몸을 벌벌 떨면서 그 사람이 어서 지나가기를 기다리는데 이게 10년동안 반복되다 보니까 이제는 너무 지쳐요.,원래는 이정도에서 끝났는데 요새는 찾아오는 사람이 저희 집 문을 열고 들어와서 저한테 해를 가할 것 같고, 저희 집에 불을 지르거나 저를 경찰에 신고할 것 같아요.,다른 일들이 겹쳐져서 현재 정신과도 다니고 있고, 정신과 선생님께 말씀도 드려서 이런 증상에 관련하여 약도 먹고 있는데 나아지지를 않아요. 오히려 요새 더 심해졌어요.,제가 현재 진단받은 것들은 우울증이랑 불안장애, 강박장애, 공황장애인데 혹시 또 다른 병이 생겨난 것인가요?"
382	pandemic	우울증 약 없이 낫는 법	2020.11.27	제가 한달 가까이 우울증 약을 안 먹고 있다가 어느 순간부터 화가 치밀어 올라서 제 손목을 긋고 싶다 던지 한 없이 우울해 지고 살기가 싫어집니다. 딱히 병원을 가도 제 솔직한 의사표현을 하지 않고 약만 받아 옵니다. 약을 받아 먹어도 부작용 때문에 먹기도 싫고 약 없이 낫는 법 좀요....그리고 자꾸 사람한테 매달리기만 합니다...이것도 고칠 방법이 있을까요?
383	pandemic	이런것도 정신병인가요?	2020.11.27	제가 5년전부터 우울증을 앓고이♤어서 예전에 입원한적도잇는데 아무튼 요점은 제가 우울증이오기전에 어릴때부터 가끔 특이한행동?을하고 재미있어합니다. 가장최근에는 공용으로 대화하며 사용하는 화이트보드에 빨간색 펜으로 ○○(동료이름)아 잘지내니? 를 몇십번 적어놓고 사람들이 무서워하면 저도같이 무서운척하고 뒤에가서는 너무웃겨서 한참웃어요. 한두번한게아니라 들키지 않을정도로만 여러번 했는데 다른사람들이 저같은행동을 안하는걸보고 특이하다는걸 알고있는데 그게너무재밌습니다. 이것도 정신병인가요? 정신병이면어떤종류이죠? 치료받아야하는건가요? 우울증약은 5년동안 끊었다먹었다했는데 이번에는 안먹은지 1년쯤 됐어요
384	pandemic	정신과 질병	2020.11.27	"제가 기독교를 믿을때부터 점점 심해졌고,이상한 기독교계 사람을 만나 상처받고 교리적으로 충격받은 이후로 정신적인 후유증을 앎고 있는데,물론 지금은 정신과 약물로 어느정도 안정은 된 상태입니다...만 한때,기독교 죄의식으로 인한 마음의 고통을 많이 받았는데,말할때 한순간에도 내가 죄를 짓고 있는건 아닌가하며 불안감에 살았으며 장난을 치거나 남에게 얘기를 할때도 교만하다, 거짓말치는 거 같다등의 죄의식에 시달렸습니다.,너무 괴롭고 그런 죄의식을 느낄때마다 스트레스를 받고 일상생활을 못할정도로 죄의식을 느끼고 잠을 못 잘정도로 종교에서 추구하는 죄의식에 사로잡히고 죄책감을 느꼈습니다. 그 뒤로는 약간의 우울증에 시달리고 강박증에 시달리고 화를 내다가도 웃다가도 어느 감정을 느끼다가도 죄의식에 사로잡히면서 느끼던 생각과 감정에서 갑자기 무기력해지는 정신증까지 경험했습니다. 기독교 죄의식 느끼는 하루는 하루종일 기분이 좋지 못했지요.,물론 이게 예전부터 이런 양상이였지만 완전히 이러지는 않았습니다만 이름은 밝히지 않겠습니다만. 어떤 고약하고 무례한 교회여자 집사를 만나서 너무 스트레스받고 상처받았단 이후로 이렇습니다.,저는 죄의식이 너무 괴롭고 스트레스고 신경쓰였죠 이게 기독교 죄의식으로 인한 정신증인걸 알고 종교는 끊었고 약을 복용하고 있지만 아쉽게도 지금은 뭘해도 재미도 없고 사람을 만나도 자신감도 없고 얘기도 잘 안되고 서로가 어색해하고 서로에게 흥미감을 느끼는 단계에 접어들지 못하는등 예전같지 않은 삶을 살고 있습니다... 너무 슬프고 억울해서 말이 안 나올지경이네요.,사실 저는 제가 이 글을쓰는 것도 저 스스로 거짓말을 치는거 같아 죄의식이 드네요,,,때로는 대학교 다니면서 다른애들은 저렇게 행복한데 나는 왜 기독교에 빠져서 이렇게 고생했나 싶기도 하구요..,지금 강박증과 우울장애 진단을 받고 약을 대략 6개월째 복용하고 있는데 인간관계나 일상이 돌아오지 않네요.,부모하고도 사이도 안 좋아지고 죄의식 시달릴때 저는 매우 위축됨을 많이 느꼈습니다만..,치료가 가능하고 또 인간관계나 사회생활도 호전되는지 궁금하네요.."
385	pandemic	한때 종교정신병으로 고생했습니다.	2020.11.27	"제가 기독교를 믿을때부터 점점 심해졌고,이상한 기독교계 사람을 만나 상처받고 교리적으로 충격받은 이후로 정신적인 후유증을 앎고 있는데,물론 지금은 정신과 약물로 어느정도 안정은 된 상태입니다...만 한때,기독교 죄의식으로 인한 마음의 고통을 많이 받았는데,말할때 한순간에도 내가 죄를 짓고 있는건 아닌가하며 불안감에 살았으며 장난을 치거나 남에게 얘기를 할때도 교만하다, 거짓말치는 거 같다등의 죄의식에 시달렸습니다.,너무 괴롭고 그런 죄의식을 느낄때마다 스트레스를 받고 일상생활을 못할정도로 죄의식을 느끼고 잠을 못 잘정도로 종교에서 추구하는 죄의식에 사로잡히고 죄책감을 느꼈습니다. 그 뒤로는 약간의 우울증에 시달리고 강박증에 시달리고 화를 내다가도 웃다가도 어느 감정을 느끼다가도 죄의식에 사로잡히면서 느끼던 생각과 감정에서 갑자기 무기력해지는 정신증까지 경험했습니다. 기독교 죄의식 느끼는 하루는 하루종일 기분이 좋지 못했지요.,물론 이게 예전부터 이런 양상이였지만 완전히 이러지는 않았습니다만 이름은 밝히지 않겠습니다만. 어떤 고약하고 무례한 교회여자 집사를 만나서 너무 스트레스받고 상처받았단 이후로 이렇습니다.,저는 죄의식이 너무 괴롭고 스트레스고 신경쓰였죠 이게 기독교 죄의식으로 인한 정신증인걸 알고 종교는 끊었고 약을 복용하고 있지만 아쉽게도 지금은 뭘해도 재미도 없고 사람을 만나도 자신감도 없고 얘기도 잘 안되고 서로가 어색해하고 서로에게 흥미감을 느끼는 단계에 접어들지 못하는등 예전같지 않은 삶을 살고 있습니다... 너무 슬프고 억울해서 말이 안 나올지경이네요.,사실 저는 제가 이 글을쓰는 것도 저 스스로 거짓말을 치는거 같아 죄의식이 드네요,,,때로는 대학교 다니면서 다른애들은 저렇게 행복한데 나는 왜 기독교에 빠져서 이렇게 고생했나 싶기도 하구요..,지금 강박증과 우울장애 진단을 받고 약을 대략 6개월째 복용하고 있는데 인간관계나 일상이 돌아오지 않네요.,치료가 가능하고 또 인간관계나 사회생활도 호전되는지 궁금하네요.."
386	pandemic	심리상담을 받고 싶은데 어떻게 해야 할까요?	2020.11.29	"22살 대학생입니다,,아버지와의 관계 때문에 너무 괴로운데 도움을 줄 수 있는 사람이 없네요,,이로 인한 우울증 때문에 올 초에 정신과에 갔었는데 상담보다 약물치료에 집중되었고 큰 효과가 없었습니다..,,전문가의 상담을 받아보고 싶습니다 도움이 필요해요,,질문은,1) 정신과와 심리상담센터와의 차이점이 있나요? 전문적인 상담을 받을 수 있는 곳을 어떻게 찾아야 하나요?,2) 상담 비용은 어느정도 준비해야 할까요? 비용이 크게 들게 하지 않을 수 있는 방법이 있을까요?,3) 제대로된 상담을 받아본 적이 없어서 그런데 심리상담에서 아버지와의 관계에 대한 조언을 구해도 될까요?,,악의성 답변 및 댓글은 신고합니다"
387	pandemic	우울증 치료가 힘들어서 항우울제를 끊어보려 합니다. (노원 40대초반/남 우울증)	2020.11.29	"우울증으로 정신과에서 치료를 받아온지 한 7년 정도 된 환자입니다.,,중간에 좀 괜찮을 때도 있었고 치료를 중단한 적도 있었지만, 결과적으로 지금은 처음보다 더 심해지고 약물 반응도 떨어지는 것 같습니다.,,근본적으로 해결되는 것 같지 않고 양약에 너무 의존하는 것 같아서 최근 몇 달간은 항우울제 치료 중단하고 운동 등 다른 방법으로 극복하려 노력 중입니다.,,아무래도 혼자 하려니 역시 한계가 느껴지는데, 한의원에서 한약 치료나 침치료 등을 받으면 조금이라도 도움될까요?"
388	pandemic	공황장애 짧은 증상 반복	2020.12.01	"안녕하세요.,수능이 이틀 남은 수험생입니다.,저는 올해 9월에 큰 사건이 있었고 그 뒤로 심리센터에서 2달 동안 상담과 검사를 받으며 공황장애와 우울증이 심하다는 걸 알게되었습니다.,그 당시에는 공황발작도 이틀에 한 번씩 있었고 숨이 잘 안 쉬어지면서 답답함을 하루에 3번씩은 느꼈습니다.,다행히 두달 동안 심리상담을 하면서 좀 나아졌어요.,심리센터에서는 약을 먹어야 된다고 했지만 수능이 한달 남았을 때라서 부작용이 무서워 먹지 않았습니다.,문제는 증상이 줄어들어도 하루에 한 번씩은 증상이 나타났고 수능이 다가올 수록 우울증이 심해져서 정신과를 다니게 되었습니다.,정신과에서 공황장애와 우울증 약을 먹은지는 일주일정도 되었어요.,증상이 나타날 때 먹는 필요시 약 두 개랑, 잘 때 먹는 수면제와 항우울제를 처방받아서 먹고 있습니다.,,말이 길어졌네요.,요즘에는 공황발작이 아예 없는 정도인데 매일 5분씩 2~6번 답답함과 심장이 철렁하는 느낌이 심하게 납니다.,5분 정도라서 금방 괜찮아지지만 이게 공황장애가 맞나?싶습니다.,횟수가 점점 늘고 있고 곧 시험이라 너무 걱정이 됩니다.,이거 걱정하고 글 쓸 시간에 공부를 더 해야하는데.......아는데 자꾸 우울해서 무기력해지고 증상이 짧게짧게 나타나니 더 스트레스 받아요...ㅜㅜㅜㅜㅜ,,,1. 짧게 자주 나타나는 증상은 공황장애가 낫고 있다는 건가요?(발작은 없음),2. 짧게 나타나는 증상이 심해지고 있는데 괜찮을까요?,3. 시험 전에 미리 약을 먹어도 괜찮을까요? (약은 신경안정제와 인데놀입니다.)"
389	pandemic	정신병원에 갈까요?	2020.12.01	"저는 현재 20세 여성입니다,원래 작년 6월쯤 조울증 진단을 받고 다시 우울증 진단을 받았었고 몇차례 상담같은것도 하고 10월정도까지 약을 복용한적이 있었는데요 제가 정신병원에 다닌다는 사실이 엄마는 많이 충격이고 상처였던것같아요 그래서 안다니고 있는데 점점 다시 힘들어지는것같아서요 요즘은 갑자기 심장이 엄청 빠르게 뛸때도 있고 이게 흡연을 하면 잠시 괜찮아지지만 다시 알수없는 우울감에 빠지게 되고 가끔 공기가 너무 답답하다? 이런 느낌도 받게 됩니다 도대체 왜이러는걸까요 다시 병원을 가기에는 너무 죄책감에 시달려요 어떻게든 죄책감에서 벗어나고 싶습니다 아 작년에 자해도 했었고 정상은 아닌것같아요 근데 저희 부모님의 말을 들어보면 저는 전혀 정신적으로 문제될 이유가 없습니다 나름 유복한 집안이고 부족함 없이 자랐어요 하지만 언제부턴가 제 인생을 많이 의심했었어요 어릴때 엄마한테 상처도 많이 받고요 하지만 이건 과거인데 왜 자꾸 문득문득 떠올라서 또 괴로운 마음이 들게 되는지 모르겠네요 병원에 가야할까요?"
390	pandemic	우울증8년 약복용7년	2020.12.02	"우울증 8년에 약복용7년 1년은 제의지로 안먹는중입니다,,하지만 요새들어서 자살생각이 더욱더 많아지고,평소에 있던 자살상상 시물레이션이 점점 심해지더라고요..,제가 약 복용 했을때도 스틸녹스? 수면제약을 2~3알씩 먹거나,아니면 술마시고 1~2알씩 먹엇습니다 몇번은 과다복용해서 토한적도 있고요 잠들어서 역류막혓으면 해서 해봣는데,잠이 안들어서 토하더라고요..,이런생각 자체가 스트레스 입니다 상하차같은 일하는도중에도 생각나더라고요..,다시 약을 복용해야할까요? 금전적으로도 힘들어서,약안먹는 이유도 있기는하지만 우울증은 따로 지원해주는곳이 없어서 더 힘든거같더라고요.. 약을 먹어야할까요?"
